LB,LT,KT,KM,GRS
700,1100,5,6,2
800,824,4,4,2
400,500,4,3,4
300,251,5,4,0
575,1340,4,5,3
300,460,4,4,3
350,278,4,4,1
300,511,3,2,0
69,70,3,2,0
42,66,2,1,1
500,449,6,7,3
188,109,2,3,1
250,320,4,4,2
400,384,4,4,6
645,462,5,6,2
300,212,4,4,2
450,342,5,4,1
700,410,4,4,2
285,144,4,3,3
400,985,4,3,4
500,780,3,4,2
450,217,4,4,2
700,1500,4,4,0
300,210,4,3,3
200,110,3,3,2
650,760,4,4,2
245,151,3,3,2
350,220,4,3,4
315,128,3,3,2
270,235,3,3,2
250,100,4,3,2
1000,470,5,5,1
150,75,4,2,0
500,770,4,4,2
1000,610,6,5,1
500,754,4,4,3
350,440,4,3,0
800,410,4,4,1
1100,973,4,3,1
320,251,4,4,1
600,780,4,4,2
600,954,4,3,2
900,1186,6,5,1
380,186,4,4,5
500,358,4,5,2
200,217,4,3,0
600,535,4,4,0
500,330,3,3,0
320,250,4,3,1
530,477,4,4,0
450,282,4,4,0
850,1312,5,4,1
500,860,4,4,1
347,246,4,3,1
450,443,4,3,4
400,389,4,3,2
450,300,4,3,2
600,433,4,4,2
400,987,4,3,1
500,817,6,4,1
428,876,5,4,2
300,887,3,2,0
425,384,5,4,2
400,458,4,4,2
235,200,3,3,2
285,144,4,4,2
600,358,4,5,2
480,550,4,4,2
300,950,5,4,0
140,164,3,3,1
400,460,4,3,1
1200,1487,6,4,2
400,158,4,2,2
800,1186,9,8,1
317,323,5,4,1
250,502,4,4,0
147,916,5,7,2
188,109,2,3,2
450,395,5,5,1
275,152,3,3,1
250,138,5,4,2
150,100,3,3,0
800,2010,4,3,1
367,188,3,3,2
525,500,4,5,0
800,1229,4,4,1
600,1000,4,4,1
350,350,6,6,2
400,987,4,3,1
500,626,5,3,0
650,472,6,5,1
600,1186,8,9,2
115,234,2,2,1
495,405,4,4,2
800,1000,5,6,2
904,802,4,3,1
298,125,4,4,3
650,1019,4,3,1
600,180,4,4,1
